"Studio_Units","One_Bedroom_Units","Two_Bedroom_Units","Three_Bedroom_Units","Four_Bedroom_Units","Five_Bedroom_Units","Six_Bedroom_Units","Total_Units","Start Year","Latitude","Longitude"
89,18,9,0,0,0,0,116,2022,40.870821,-73.877377
23,24,6,0,0,0,0,222,2022,40.806849,-73.941933
161,74,91,0,0,0,0,326,2022,40.84647,-73.916753
0,4,0,0,0,0,0,12,2022,40.798358,-73.93886
0,7,0,0,0,0,0,23,2022,40.769624,-73.918568
0,3,3,0,0,0,0,20,2022,40.748034,-73.946922
0,3,3,0,0,0,0,6,2022,40.657438,-73.907618
0,8,5,0,0,0,0,13,2022,40.830884,-73.900692
0,1,5,4,0,0,0,10,2022,40.834354,-73.898682
0,3,4,0,0,0,0,7,2022,40.824517,-73.912673
0,0,6,4,0,0,0,10,2022,40.828016,-73.907927
2,0,0,4,4,0,0,10,2022,40.830132,-73.892115
0,12,9,0,0,0,0,21,2022,40.831231,-73.890292
0,5,4,1,0,0,0,10,2022,40.833253,-73.889107
0,0,5,5,0,0,0,10,2022,40.843521,-73.901675
0,0,3,7,0,0,0,10,2022,40.829563,-73.8975
0,0,0,11,0,0,0,11,2022,40.831391,-73.896811
0,12,8,0,0,0,0,20,2022,40.834034,-73.896724
0,6,4,5,0,0,0,15,2022,40.829251,-73.900836
10,15,28,1,0,0,0,54,2022,40.838281,-73.927269
0,1,4,0,0,0,0,70,2022,40.775767,-73.952817
0,11,10,0,0,0,0,87,2022,40.743792,-73.912547
0,3,2,0,0,0,0,14,2022,40.823599,-73.941348
0,4,0,0,0,0,0,13,2022,40.823706,-73.941268
0,1,2,0,0,0,0,10,2022,40.688473,-73.927162
0,4,5,0,0,0,0,30,2022,40.826212,-73.897823
0,4,0,12,0,0,0,52,2022,40.690541,-73.955348
1,2,0,0,0,0,0,10,2022,40.885541,-73.865075
0,3,0,0,0,0,0,8,2022,40.693459,-73.920525
0,3,0,0,0,0,0,8,2022,40.693385,-73.920594
0,3,0,0,0,0,0,8,2022,40.693423,-73.920558
0,2,1,1,0,0,0,12,2022,40.753713,-73.931866
0,5,0,0,0,0,0,16,2022,40.69553,-73.937537
1,2,0,0,0,0,0,9,2022,40.831141,-73.888283
1,1,2,0,0,0,0,20,2022,40.694529,-73.949027
12,10,2,0,0,0,0,117,2022,40.755237,-73.992864
4,1,1,1,0,0,0,21,2022,40.819968,-73.914149
0,1,2,0,0,0,0,10,2022,40.702787,-73.914859
0,14,14,0,0,0,0,92,2022,40.876865,-73.860681
1,0,1,0,0,0,0,2,2022,40.834304,-73.941595
0,2,13,0,0,0,0,15,2022,40.834614,-73.942332
0,2,5,13,0,0,0,20,2022,40.83678,-73.937791
0,9,4,1,0,0,0,14,2022,40.836893,-73.938011
0,3,1,0,0,0,0,4,2022,40.840049,-73.937361
9,17,16,0,0,0,0,171,2022,40.630456,-73.945167
0,2,0,0,0,0,0,6,2022,40.659484,-73.937888
18,41,15,3,0,0,0,321,2022,40.676789,-73.889346
0,6,0,0,0,0,0,19,2022,40.584592,-73.955591
13,20,12,0,0,0,0,180,2022,40.678956,-73.978754
1,2,0,0,0,0,0,9,2022,40.726966,-73.941873
5,10,7,0,0,0,0,72,2022,40.670062,-73.988133
0,3,0,0,0,0,0,7,2022,40.740532,-73.852056
16,9,3,0,0,0,0,569,2022,40.689356,-73.978567
0,6,26,0,0,0,0,32,2022,40.803983,-73.954354
2,10,3,0,0,0,0,330,2022,40.758182,-73.989973
0,5,6,0,0,0,0,46,2022,40.679355,-73.961794
0,1,2,0,0,0,0,7,2022,40.676182,-73.936971
0,1,2,0,0,0,0,7,2022,40.676179,-73.93692
0,6,7,0,0,0,0,42,2022,40.85329,-73.88684
4,12,0,0,0,0,0,71,2022,40.634773,-73.949721
3,0,9,0,0,0,0,38,2022,40.827784,-73.890901
2,8,3,0,0,0,0,43,2022,40.866003,-73.859608
23,16,14,2,0,0,0,180,2022,40.697243,-73.986217
0,4,0,0,0,0,0,12,2022,40.663832,-73.938442
0,2,2,0,0,0,0,13,2022,40.840353,-73.888513
0,3,0,0,0,0,0,10,2022,40.769446,-73.923269
1,2,0,0,0,0,0,3,2022,40.822645,-73.908238
0,0,3,0,0,0,0,8,2022,40.7529,-73.828453
0,0,3,0,0,0,0,8,2022,40.752802,-73.828763
0,13,2,0,0,0,0,77,2022,40.57639,-73.984715
3,3,6,0,0,0,0,39,2022,40.695866,-73.906415
3,6,9,0,0,0,0,58,2022,40.702864,-73.982764
2,13,4,1,0,0,0,66,2022,40.652352,-73.955117
0,2,0,0,0,0,0,6,2022,40.659418,-73.99024
1,2,1,0,0,0,0,12,2022,40.861608,-73.907223
0,61,25,17,0,0,0,103,2022,40.847297,-73.910434
0,10,6,0,0,0,0,80,2022,40.706166,-73.808184
